Book: D:\Projekte\Java\Exercise_Countwords\src\main\java\files\10003.txt
half : 9
plumes : 2
shooting : 6
abrupt : 2
hall : 9
comprends : 2
themiddle : 2
tea : 10
YEAR : 30
gloomy : 5
ten : 11
carriedout : 2
andencouraged : 2
amusing : 15
sittings : 7
A : 1312
telling : 4
Chancellor : 2
B : 5
C : 6
D : 6
E : 9
centreall : 2
F : 4
H : 3
I : 704
turn : 10
K : 3
L : 5
M : 56
N : 2
gold : 11
result : 2
P : 6
opposition : 3
hiscolleagues : 3
R : 5
same : 27
S : 2
cet : 2
W : 189
X : 5
after : 85
staircase : 13
hand : 3
a : 1312
b : 5
c : 6
d : 6
Supper : 11
eating : 2
blood : 2
Napoleon : 4
the : 3491
straight : 6
Red : 12
Comte : 19
y : 3
information : 10
Justbefore : 2
garde : 2
Again : 30
invitedto : 2
Grevys : 7
uprising : 2
good : 50
empty : 5
faithful : 5
Princesse : 9
besides : 6
copying : 2
serious : 2
Elle : 4
Czascki : 2
sans : 3
gone : 15
walked : 8
sang : 3
provided : 6
Maison : 2
todinner : 2
hard : 16
quarters : 2
room : 38
better : 10
taking : 14
embroideries : 2
Rugby : 2
hats : 4
signatures : 3
MacMahon : 23
Kleber : 2
struck : 7
block : 2
morethe : 2
dinners : 21
order : 8
withthe : 10
Boulevard : 2
women : 48
pink : 4
woman : 23
toa : 2
andW : 2
whenhe : 2
Notwithstanding : 4
top : 8
too : 55
have : 164
Richard : 4
energetic : 3
famous : 12
question : 25
againthe : 2
additions : 2
intellectual : 2
VERSAILLES : 26
Deputywho : 2
ofit : 2
regard : 3
rose : 2
All : 434
Trinity : 2
cor : 2
hadbeen : 6
Copyright : 14
owns : 2
including : 8
Fridays : 2
plenty : 4
AGREEMENT : 19
try : 3
Worldthe : 2
patriotic : 6
became : 12
theCongress : 3
scenery : 2
Any : 162
times : 13
Admiral : 5
says : 2
That : 392
comments : 3
totalk : 2
Their : 158
rows : 3
Centre : 6
stable : 3
pity : 2
Greeks : 2
beautiful : 35
worked : 5
dOrsay : 30
deputations : 2
Then : 56
state : 15
element : 3
appointments : 2
opposite : 3
chamberlains : 2
creating : 2
cup : 6
sweeping : 2
cut : 5
probably : 3
Vanilla : 3
constitutional : 3
two : 87
ROYAL : 16
moment : 18
warmly : 5
Sweden : 2
reported : 3
worried : 5
distribute : 5
BUT : 300
think : 73
languages : 3
They : 266
mistress : 2
speech : 4
thing : 19
cabinet : 48
shook : 7
There : 239
paying : 5
holidays : 2
This : 65
andthere : 4
shoot : 2
actual : 6
inspected : 2
YEARS : 64
These : 23
shops : 6
Italian : 11
memory : 6
theafternoon : 3
farmers : 3
theShah : 2
house : 73
fetes : 5
Casimir : 6
grandmaitre : 2
hours : 14
start : 6
stars : 3
fallen : 2
anglais : 2
PRESIDENT : 42
short : 15
theguests : 2
PARAGRAPH : 10
required : 2
measures : 6
coats : 5
restoration : 2
Lyonss : 4
flowers : 24
statesmen : 2
NOTICE : 4
bright : 11
unknown : 4
gracious : 3
manners : 8
theChateau : 2
TheRepublicans : 3
accustomedto : 2
performed : 2
ofmanner : 3
whenwe : 2
hanging : 3
friendly : 7
tell : 6
possession : 2
athome : 2
Prince : 70
daughters : 2
shown : 5
day : 90
accustomed : 6
statesman : 5
affairshe : 2
created : 4
format : 4
Toulouse : 2
EXCEPT : 22
water : 6
Protestant : 10
corps : 19
Trocadero : 2
formal : 6
Theatre : 4
Marquise : 5
entertain : 2
countess : 12
Say : 63
guarded : 2
ortwo : 2
Renault : 2
built : 3
entertained : 3
heavily : 2
colleague : 5
chamberlain : 2
diamond : 3
third : 3
thecountry : 4
presidents : 6
Republican : 23
parliament : 16
des : 19
Simon : 5
wellknown : 15
theconversation : 3
grata : 2
going : 42
banks : 4
carefully : 3
Arab : 2
beginnings : 2
See : 112
Bismarck : 17
attitude : 10
treatment : 4
notabilities : 2
waited : 4
THE : 3491
Cardinals : 6
EXPOSITION : 32
grass : 2
unlike : 2
hotel : 14
term : 2
ambassadors : 9
business : 6
staff : 11
possible : 19
right : 19
withpeople : 2
Isabella : 3
under : 30
did : 51
quarter : 4
handsomest : 2
quantities : 7
She : 179
diningroom : 5
later : 12
MINISTRY : 44
Happily : 3
forgotten : 3
theForeign : 4
oftalking : 3
journey : 2
finally : 8
remained : 18
straw : 2
brown : 3
puzzled : 2
final : 4
Sir : 8
occasion : 7
back : 55
Morny : 2
Lady : 24
states : 17
wasnt : 12
Rouen : 3
ferry : 5
company : 3
priest : 2
grand : 19
drivethrough : 2
baby : 3
Comedie : 4
attempt : 2
rivalry : 4
thick : 3
doesnt : 4
December : 7
Despite : 2
lying : 3
hewas : 12
made : 96
bythe : 6
being : 22
hoping : 3
wereshown : 2
status : 5
embarrassed : 2
government : 29
known : 19
nurse : 3
stand : 4
lhonneur : 2
knows : 2
faroff : 2
forward : 4
specimens : 2
Spain : 4
Son : 12
scaffold : 2
nowthere : 2
THAT : 392
use : 18
subject : 7
sadness : 3
mais : 2
liked : 20
inFrance : 3
continuous : 2
terraces : 3
maid : 2
Bon : 2
partof : 2
Ofcourse : 3
deputies : 25
Royalist : 6
Information : 10
ball : 20
Ministere : 3
smoking : 3
palms : 4
transformed : 2
make : 54
included : 2
opposed : 3
banal : 3
ChampsElysees : 4
due : 5
Kirschner : 2
nuns : 3
trees : 10
Laon : 2
presidency : 4
Hohenlohes : 3
boxes : 9
singing : 3
FrancoPrussian : 5
filename : 5
highest : 3
ministry : 44
long : 88
remember : 24
But : 300
expression : 2
many : 155
wasan : 3
stay : 11
andwas : 3
mylife : 2
inspire : 2
progress : 2
courtesies : 2
rapid : 2
numbers : 2
seven : 3
boulevards : 2
wood : 5
bare : 2
surprise : 3
Deputy : 7
invited : 15
Senator : 11
Decazes : 7
bridges : 2
look : 16
THIS : 65
veryclever : 2
farewell : 2
mass : 3
blankets : 4
Whether : 9
interest : 19
themselves : 22
apply : 2
Every : 95
mari : 2
step : 5
Petit : 6
didthe : 2
loss : 3
lost : 7
Vous : 8
spokeFrench : 2
EBook : 14
work : 55
enfilade : 2
wore : 11
word : 11
thathe : 2
stated : 4
love : 6
Pourtales : 2
secret : 3
across : 9
